"","numero","ht","circ","bloc"
"1",1,18.25,36,1
"2",2,19.75,42,1
"3",3,16.5,33,1
"4",4,18.25,39,1
"5",5,19.5,43,1
"6",6,16.25,34,1
"7",7,17.25,37,1
"8",8,19,41,1
"9",10,16.25,27,1
"10",11,17.5,30,1
"11",12,15.5,26,1
"12",13,19.75,35,1
"13",14,22,39,1
"14",15,18.25,31,1
"15",16,18.25,27,1
"16",17,20.5,35,1
"17",18,16,27,1
"18",19,18,35,1
"19",20,20.25,40,1
"20",21,19.75,41,1
"21",22,19,38,1
"22",23,19.75,38,1
"23",24,17.5,39,1
"24",25,21,42,1
"25",26,21.75,46,1
"26",28,23,56,1
"27",30,22.25,53,1
"28",31,23,54,1
"29",32,23,53,1
"30",33,19,38,1
"31",34,23.25,53,1
"32",35,24,59,1
"33",36,22,50,1
"34",37,19,38,1
"35",38,19.75,44,1
"36",39,22.25,43,1
"37",40,21.75,47,1
"38",41,23.25,54,1
"39",42,24.25,56,1
"40",43,23.25,56,1
"41",44,24.25,57,1
"42",45,24.5,58,1
"43",47,23,52,1
"44",48,22.5,52,1
"45",49,21.25,47,1
"46",50,19.75,44,1
"47",51,22.5,49,1
"48",52,18.75,37,1
"49",53,12.5,32,1
"50",54,18,35,1
"51",55,23.5,56,1
"52",56,24,58,1
"53",58,23.75,52,1
"54",61,23.75,54,1
"55",63,23.25,58,1
"56",64,21.25,43,1
"57",65,23.25,51,1
"58",66,20.5,40,1
"59",67,23.25,52,1
"60",68,22.25,46,1
"61",69,23.75,54,1
"62",71,24.75,56,1
"63",72,24.25,55,1
"64",82,21.25,46,1
"65",83,20.75,47,1
"66",84,19.75,43,1
"67",85,22.25,52,1
"68",86,20.25,40,1
"69",87,18.75,36,1
"70",88,21.25,47,1
"71",89,22,51,1
"72",90,19.75,39,1
"73",91,16.25,34,1
"74",92,21,48,1
"75",93,18.75,41,1
"76",94,21.75,48,1
"77",95,19.25,37,1
"78",96,19.75,43,1
"79",97,21.25,45,1
"80",98,22,50,1
"81",99,21.75,52,1
"82",100,20.25,45,1
"83",101,23.25,53,1
"84",103,18.25,35,1
"85",104,22.75,46,1
"86",105,20.75,41,1
"87",106,18.5,35,1
"88",107,21.75,43,1
"89",108,19.75,36,1
"90",109,23.75,56,1
"91",110,23.25,52,1
"92",111,22.5,49,1
"93",113,22.25,46,1
"94",114,22.25,47,1
"95",115,23.5,57,1
"96",116,24.25,61,1
"97",117,21.25,46,1
"98",118,22.5,54,1
"99",120,23,57,1
"100",121,21.75,49,1
"101",123,21.25,44,1
"102",127,22,44,1
"103",128,15.75,31,1
"104",129,21.5,42,1
"105",130,21.75,41,1
"106",131,21.25,41,1
"107",132,23,49,1
"108",133,20.75,38,1
"109",134,21,39,1
"110",135,22.25,43,1
"111",136,22.25,54,1
"112",137,22.75,53,1
"113",138,23.25,56,1
"114",139,21.25,46,1
"115",140,21.75,44,1
"116",141,22.75,55,1
"117",142,22.25,50,1
"118",143,19,36,1
"119",144,19.25,35,1
"120",145,23.75,56,1
"121",146,22.5,46,1
"122",147,23.25,52,1
"123",148,22.75,48,1
"124",149,23.25,51,1
"125",150,23.25,47,1
"126",151,22.75,50,1
"127",152,15.25,28,1
"128",153,23,49,1
"129",154,22.75,49,1
"130",155,22.75,46,1
"131",156,23.25,47,1
"132",157,23,47,1
"133",158,23.25,50,1
"134",159,23.75,48,1
"135",161,23,50,1
"136",162,24.75,58,1
"137",164,25.25,60,1
"138",167,23.75,55,1
"139",168,16.75,32,1
"140",169,22.75,52,1
"141",170,24.25,54,1
"142",171,15.25,29,1
"143",172,23.25,55,1
"144",173,23.25,59,1
"145",174,24.5,60,1
"146",175,23.25,49,1
"147",176,20.75,39,1
"148",177,25.25,65,1
"149",178,22.25,49,1
"150",182,23.75,62,1
"151",183,23.75,54,1
"152",184,24.25,63,1
"153",185,23.75,54,1
"154",186,23.75,54,1
"155",187,22.25,58,1
"156",188,24.75,60,1
"157",189,25.25,59,1
"158",190,24.25,62,1
"159",191,24.75,57,1
"160",192,24.75,59,1
"161",193,22.25,57,1
"162",194,22.25,47,1
"163",195,25,62,1
"164",196,22.5,59,1
"165",197,24,58,1
"166",198,25.25,65,1
"167",199,24.25,62,1
"168",200,24.75,58,1
"169",201,25.75,65,1
"170",202,23.75,58,1
"171",203,22.5,45,1
"172",204,23.5,54,1
"173",205,20.75,47,1
"174",206,23.75,54,1
"175",207,23.25,54,1
"176",208,22,47,1
"177",210,23.25,60,1
"178",211,25.75,64,1
"179",214,25,64,1
"180",216,26,66,1
"181",217,26,60,1
"182",218,23,43,1
"183",219,20.25,36,1
"184",220,23.75,49,1
"185",221,23,42,1
"186",222,24.25,55,1
"187",223,24.75,54,1
"188",224,24.75,52,1
"189",225,24.25,48,1
"190",226,22.5,54,1
"191",227,23.25,59,1
"192",228,21.75,55,1
"193",229,22.25,55,1
"194",230,21.25,48,1
"195",231,23.25,59,1
"196",232,21.75,53,1
"197",233,23.5,59,1
"198",234,22.5,56,1
"199",235,22.25,51,1
"200",236,22.75,49,1
"201",237,22.25,51,1
"202",238,22.25,46,1
"203",239,22.75,45,1
"204",240,21.25,41,1
"205",241,22.75,51,1
"206",242,22.25,46,1
"207",243,22.75,48,1
"208",244,18.75,38,1
"209",245,23.25,55,1
"210",246,23.5,56,1
"211",247,22.25,52,1
"212",248,22.75,49,1
"213",249,23.75,55,1
"214",250,21.75,49,1
"215",251,23,52,1
"216",252,23.25,53,1
"217",262,22.25,55,1
"218",263,21.75,52,1
"219",264,21.75,53,1
"220",265,22.25,52,1
"221",266,21.5,46,1
"222",267,22,55,1
"223",269,22.25,54,1
"224",270,22.25,50,1
"225",271,23,50,1
"226",272,24.75,62,1
"227",273,23,51,1
"228",274,23.5,51,1
"229",275,23.75,53,1
"230",276,25.25,57,1
"231",277,24,55,1
"232",278,24.25,54,1
"233",279,24.75,58,1
"234",280,23,58,1
"235",281,23.75,57,1
"236",282,22,53,1
"237",283,22,53,1
"238",284,22.25,48,1
"239",285,22.25,47,1
"240",286,23.25,56,1
"241",287,23.25,56,1
"242",288,19.25,37,1
"243",298,23.25,46,1
"244",299,23.25,49,1
"245",300,23.25,53,1
"246",302,23.75,49,1
"247",303,21.75,41,1
"248",304,20.75,35,1
"249",305,23.25,50,1
"250",306,23,46,1
"251",307,19.5,42,1
"252",311,23,59,1
"253",312,19,32,1
"254",313,22,59,1
"255",314,21.75,50,1
"256",316,22.25,56,1
"257",317,23.25,59,1
"258",318,22.75,50,1
"259",319,23.25,56,1
"260",320,21.5,48,1
"261",321,22.5,51,1
"262",322,23.25,60,1
"263",323,22.25,55,1
"264",324,21.25,43,1
"265",326,25.5,55,1
"266",329,24.25,55,1
"267",331,24.75,59,1
"268",332,23.75,51,1
"269",333,23.25,49,1
"270",335,23.25,57,1
"271",339,18.25,39,1
"272",340,23.25,55,1
"273",341,23.25,53,1
"274",342,17.75,35,1
"275",346,17.75,41,1
"276",347,20.25,50,1
"277",348,20.75,53,1
"278",349,18.5,46,1
"279",350,20,52,1
"280",351,20.25,46,1
"281",352,23.25,49,1
"282",353,20.75,42,1
